from_id,to_id,cost,line
109,113,15,徒歩
109,114,15,徒歩
109,1244,20,徒歩
109,1389,10,徒歩
109,1773,19,徒歩
109,224,9,徒歩
109,268,15,徒歩
109,745,15,徒歩
109,824,17,徒歩
109,825,17,徒歩
1090,1384,16,徒歩
1090,1384,4,江ノ島電鉄線
1090,1673,15,徒歩
1090,1673,4,江ノ島電鉄線
1092,1177,19,秩父本線
1092,1638,14,秩父本線
1093,1094,4,徒歩
1093,1095,4,徒歩
1093,1096,6,徒歩
1093,1097,5,徒歩
1093,1361,19,徒歩
1093,1741,17,徒歩
1094,1095,1,徒歩
1094,1096,3,徒歩
1094,1097,2,徒歩
1094,1120,11,JR横須賀線
1094,1120,12,JR湘南新宿ライン
1094,1245,49,JR湘南新宿ライン
1094,1361,16,徒歩
1094,1741,16,徒歩
1095,1096,3,徒歩
1095,1097,2,徒歩
1095,1361,16,徒歩
1095,1741,16,徒歩
1096,1097,2,徒歩
1096,1361,1,京浜急行本線
1096,1361,14,徒歩
1096,1362,2,京浜急行本線
1096,1741,17,徒歩
1097,1361,15,徒歩
1097,1489,5,東急東横線
1097,1741,18,徒歩
1098,1461,10,西武秩父線
1098,1562,4,西武秩父線
11,757,8,東急こどもの国線
110,111,14,徒歩
110,112,13,徒歩
110,113,16,徒歩
110,114,15,徒歩
110,1203,20,JR宇都宮線
110,1244,20,徒歩
110,1297,5,JR京浜東北線
110,1376,4,JR京浜東北線
110,1389,12,徒歩
110,1607,10,JR宇都宮線
110,1773,18,徒歩
110,1773,3,JR京浜東北線
110,1773,4,JR山手線
110,224,8,徒歩
110,268,16,徒歩
110,536,26,JR宇都宮線
110,662,10,JR高崎線
110,662,6,JR宇都宮線
110,745,15,徒歩
110,745,2,JR京浜東北線
110,745,3,JR山手線
110,824,19,徒歩
110,825,18,徒歩
110,887,3,JR常磐線快速
1100,1704,9,JR総武本線
1101,1150,17,徒歩
1101,1294,3,JR横須賀線
1101,1523,5,JR横須賀線
1101,1624,10,JR横須賀線
1101,1625,9,徒歩
1102,1150,1,京浜急行本線
1102,1150,14,徒歩
1102,1337,1,京浜急行本線
1102,1643,7,京浜急行本線
1103,1104,3,徒歩
1103,1327,4,JR横浜線
1103,1328,6,JR横浜線
1105,1461,17,西武秩父線
1105,1532,6,西武秩父線
1106,1144,12,秩父本線
1107,1109,7,秩父本線
1107,1206,12,秩父本線
1108,1612,3,東武越生線
1109,1311,15,秩父本線
111,1064,9,徒歩
111,112,2,上野モノレール
111,112,4,徒歩
111,113,20,徒歩
111,114,19,徒歩
111,1773,20,徒歩
111,224,12,徒歩
1112,1120,3,JR南武線
1112,1124,3,JR南武線
1113,1116,6,JR五日市線
1114,1115,2,徒歩
1116,1123,3,JR五日市線
1117,1564,3,西武多摩湖線
1118,1542,16,徒歩
1118,1542,4,東急目黒線
1119,1120,2,徒歩
1119,1444,4,東急東横線
1119,1489,6,東急東横線
112,1064,10,徒歩
112,113,17,徒歩
112,114,16,徒歩
112,1244,17,徒歩
112,224,10,徒歩
112,745,19,徒歩
1120,1536,5,JR横須賀線
1120,1536,5,JR湘南新宿ライン
1123,1373,3,JR五日市線
1124,1129,4,JR南武線
1125,1340,19,徒歩
1125,1340,5,東急多摩川線
1126,1757,5,西武池袋線
1127,1128,3,徒歩
1128,1566,4,JR武蔵野線
1129,1182,2,JR南武線
1129,1248,3,徒歩
1129,1749,16,徒歩
113,114,1,徒歩
113,1244,6,徒歩
113,1378,20,徒歩
113,1389,19,徒歩
113,224,9,徒歩
113,268,7,徒歩
113,745,4,徒歩
113,824,18,徒歩
113,825,17,徒歩
113,932,11,徒歩
1131,1276,7,西武拝島線
1131,1563,6,西武拝島線
1132,1272,2,西武池袋線
1132,1388,6,西武池袋線
1133,1316,6,徒歩
1133,1702,2,京王線
1135,1409,7,JR川越線
1135,1758,7,JR川越線
1137,1613,6,JR八高線
1137,1758,13,JR八高線
1138,1200,14,徒歩
1138,1473,14,徒歩
1138,1474,13,徒歩
1139,1140,5,徒歩
1139,1358,18,徒歩
1139,1359,16,徒歩
1139,1360,16,徒歩
1139,1708,13,徒歩
1139,1709,19,徒歩
1139,1710,19,徒歩
1139,1711,1,JR中央線
1139,1711,1,JR総武線
1139,1711,16,徒歩
1139,1712,15,徒歩
114,1244,6,徒歩
114,1389,19,徒歩
114,224,8,徒歩
114,268,7,徒歩
114,745,4,徒歩
114,824,18,徒歩
114,825,17,徒歩
114,932,12,徒歩
1140,1359,19,徒歩
1140,1360,18,徒歩
1140,1708,17,徒歩
1140,1711,19,徒歩
1140,1712,18,徒歩
1141,1717,11,JR成田線
1145,1146,5,徒歩
1145,1147,6,徒歩
1145,1246,15,徒歩
1145,1247,11,徒歩
1145,1605,17,徒歩
1145,1606,9,徒歩
1145,1687,19,徒歩
1145,1789,18,徒歩
1146,1147,1,徒歩
1146,1246,16,徒歩
1146,1247,13,徒歩
1146,1605,15,徒歩
1146,1606,5,徒歩
1146,1789,15,徒歩
1147,1246,17,徒歩
1147,1247,13,徒歩
1147,1605,15,徒歩
1147,1606,5,徒歩
1147,1789,15,徒歩
1148,1565,1,京王井の頭線
1148,1565,15,徒歩
115,1412,19,徒歩
115,1412,5,東急大井町線
115,198,6,東急大井町線
1150,1622,5,京浜急行本線
1150,1625,1,京浜急行本線
1150,1625,19,徒歩
1151,1152,5,徒歩
1151,1198,18,徒歩
1151,1407,6,新交通ゆりかもめ
1151,1417,13,徒歩
1152,1417,10,徒歩
1152,1650,16,徒歩
1152,1651,17,徒歩
