id,name,category,latitude,longitude,line
89,上福岡,てんぷら,35.873869,139.511868,東武東上本線
90,上総一ノ宮,和食,35.374682,140.365521,JR外房線
91,上総三又,てんぷら,35.465921,140.126754,小湊鉄道
92,上総中川,イタリアン,35.282705,140.280558,いすみ鉄道
93,上総中野,懐石料理・精進料理,35.250038,140.199594,いすみ鉄道/小湊鉄道
94,上総久保,イタリアン,35.367455,140.154446,小湊鉄道
95,上総亀山,懐石料理・精進料理,35.233186,140.089506,JR久留里線
96,上総大久保,無国籍料理,35.28336,140.145928,小湊鉄道
97,上総山田,おでん,35.454101,140.126167,小湊鉄道
98,上総川間,寿司,35.388055,140.151013,小湊鉄道
99,上総村上,フレンチ,35.496119,140.100425,小湊鉄道
100,上総東,タイ・ベトナム料理,35.26329,140.344908,いすみ鉄道
101,上総松丘,日本料理,35.258205,140.064031,JR久留里線
102,上総清川,ステーキ・ハンバーグ,35.390836,139.96564,JR久留里線
103,上総湊,フレンチ,35.221831,139.870992,JR内房線
104,上総牛久,寿司,35.400199,140.142307,小湊鉄道
105,上総興津,ハンバーガー,35.137212,140.250468,JR外房線
106,上総鶴舞,てんぷら,35.381303,140.165064,小湊鉄道
107,上野,魚介・海鮮・ふぐ・すっぽん,35.711461,139.776988,東京メトロ日比谷線
108,上野,おでん,35.711734,139.77527,東京メトロ銀座線
109,上野,タイ・ベトナム料理,35.713316,139.777381,東北新幹線
110,上野,お好み焼き・もんじゃ焼き,35.713701,139.776714,JR京浜東北線/JR宇都宮線/JR山手線/JR常磐線快速/JR高崎線/上越新幹線/長野新幹線
111,上野動物園東園,牛丼・定食・丼もの,35.715883,139.769998,上野モノレール
112,上野動物園西園,韓国料理,35.714313,139.76969,上野モノレール
113,上野広小路,しゃぶしゃぶ,35.707602,139.772965,東京メトロ銀座線
114,上野御徒町,無国籍料理,35.707975,139.772912,都営大江戸線
115,上野毛,もつ鍋・ホルモン,35.61199,139.63891,東急大井町線
116,上長瀞,韓国料理,36.086151,139.11329,秩父本線
117,下丸子,カレー,35.571321,139.68549,東急多摩川線
118,下井草,もつ鍋・ホルモン,35.723869,139.624734,西武新宿線
119,下北沢,すき焼き,35.661442,139.667342,小田急小田原線
120,下北沢,韓国料理,35.661603,139.666567,京王井の頭線
121,下山口,スイーツ,35.779444,139.441165,西武狭山線
